Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Type
3279073,PRIVATEER FARMERS MARKET CO-OPERATIVE LIMITED,2014,2175 EASTERN SHORE ORAD,BROOKLYN,NS,B0J 1H0,AGRICULTURE
1548378,PRIVATEER HOUSING CO-OPERATIVE LIMITED,1983,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,HOUSING
1360612,PUGWASH CO-OPERATIVE LIMITED,1945,BOX 399,PUGWASH,NS,B0K 1L0,RETAIL CONSUMER PRODUCTS
3161312,PUGWASH FARMERS' MARKET CO-OPERATIVE LIMITED,2006,P.O. BOX 197,PUGWASH,NS,B0K 1L0,AGRICULTURE
3310171,RADICAL ROOTS MARKET CO-OPERATIVE LIMITED,2017,6250 NORTH STREET,HALIFAX,NS,B3L 1P5,RETAIL CONSUMER PRODUCTS
3251756,RED BRICK ROW INVESTMENT CO-OPERATIVE LIMITED,2011,PO BOX 1201,SYDNEY,NS,B1P 6J9,INVESTMENT
3296528,RED CLAY CONSERVATION COOPERATIVE LIMITED,2016,4715 HIGHWAY #2,UPPER ECONOMY,NS,B0M 1B0,SERVICES
2150749,RESOURCES 2000 CO-OP LTD.,1992,RR #1 ,ORANGEDALE,NS,B0E 2K0,WORKER LABOUR
3021538,RICHMOND COMMUNITY MANAGEMENT FISHERY CO-OPERATIVE LIMITED,1998,P.O. BOX 57,ARICHAT,NS,B0E 1A0,FISH PRODUCTS
3313807,RIVARD'S LUMBER & HARDWARE CO-OP LTD.,2017,22498 CREEK RD,CHATHAM,ON,N7M 5J3,FOREST PRODUCTS
3234987,RIVERFEST CO-OP LIMITED,2009,2319 LOWER BRANCH RD,NEW CANADA,NS,B4V 4V7,WORKER LABOUR
1352397,RIVER HEBERT COOPERATIVE SERVICE LIMITED,1943,1764 MAIN STREET,RIVER HEBERT,NS,B0L 1G0,RETAIL CONSUMER PRODUCTS
1501024,ROCKY ROAD HOUSING CO-OPERATIVE LIMITED,1983,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,HOUSING
1381982,ROGERS DRIVE HOUSING CO-OPERATIVE LTD.,1981,"C/O PATHWAYS HOUSING SERVICES, 
PO BOX 152 DMPS",DARTMOUTH,NS,B2Y 3Y3,HOUSING
1445622,ROOFTOPS HOUSING CO-OPERATIVE LIMITED,1982,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,HOUSING
3307986,RYAN'S POCKET HOUSING CO-OPERATIVE LIMITED,2017,PO BOX 128,AYLESFORD,NS,B0P 1C0,HOUSING
3247429,SADUKE HOUSING CO-OPERATIVE LIMITED,2010,"PO BOX 152, DMPS",DARTMOUTH,NS,B2Y 3Y3,HOUSING
1511056,SAMSON CO-OPERATIVE LIMITED,1983,40 SAMSON COURT,NEW GLASGOW,NS,B2H 5P1,HOUSING
1352440,SCOTIAN GOLD CO-OPERATIVE LIMITED,1957,2900 LOVETT ROAD,COLDBROOK,NS,B4R 1A6,AGRICULTURE
1352453,SCOTSBURN CO-OPERATIVE SERVICES LIMITED,1946,PO BOX 1068,TRURO,NS,B2N 5B9,AGRICULTURE
3245765,SERVING SENIORS ALLIANCE COOPERATIVE LTD.,2010,PO BOX 23184,DARTMOUTH,NS,B3A 4S9,SERVICES
1352479,SETTLEMENT WATER CO-OPERATIVE LIMITED,1970,59 COCHRANE RD,ENFIELD,NS,B5T 1G9,SERVICES
1352482,SHEAN CO-OPERATIVE LIMITED,1936,PO BOX 179,INVERNESS,NS,B0E 1N0,RETAIL CONSUMER PRODUCTS
3104621,SHEAN INVESTMENT CO-OPERATIVE LIMITED,2005,BOX 927,INVERNESS,NS,B0E 1N0,INVESTMENT
3252348,SHELBURNE FARMERS AND ARTISANS CO-OP LTD.,2011,PO BOX 1553,SHELBURNE,NS,B0T 1W0,AGRICULTURE
1413392,SHIRETOWN HOUSING CO-OPERATIVE LIMITED,1981,PO BOX 1544,PICTOU,NS,B0K 1H0,HOUSING
3229301,SMART CHRISTMAS TREE RESEARCH COOPERATIVE LTD.,2008,P.O. BOX 8 ,TATAMAGOUCHE ,NS,B0K 1V0,FOREST PRODUCTS
1923700,SOIL AND SEA CO-OP LIMITED,1989,"9483, 221 WEST, RR #5",CANNING,NS,B0P 1H0,WORKER LABOUR
3318960,SOUTH SHORE EEL CO-OP LTD.,2018,33 CHESTNUT STREET ,YARMOUTH ,NS,B5A 2N7,FISH PRODUCTS
3309375,SOUTH SHORE TOURISM COOPERATIVE LIMITED,2017,527 HWY 10,COOKVILLE,NS,B4V 7P4,SERVICES
1689393,SPANISH BAY CONTINUING HOUSING CO-OPERATIVE LTD.,1986,C/O 207-59 INGLIS PLACE,TRURO,NS,B2N 4B5,HOUSING
