ID,Description
CPLID922,Alderney Landing
CPLID923,St. Margaret's Bay Recreation Centre
CPLID924,Spryfield Lions Rink
CPLID925,Centennial Pool
CPLID926,Eastern Shore Recreation Centre
CPLID927,Musquodoboit Harbour Rec Facility (Village Plaza)
CPLID928,Sackville Sports Stadium
CPLID929,St. Margaret's Centre
CPLID93,St. Mary's Boat Club
CPLID930,Carroll's Corner
CPLID931,Dartmouth North Community Centre
CPLID932,Chocolate Lake Recreation Centre
CPLID933,Evergreen House
CPLID934,Hubbard's Community Centre
CPLID935,Northbrook Community Centre
CPLID936,MacPhee House
CPLID937,Upper Hammonds Plains Community Centre
CPLID938,Wallace Lucas Community Centre
CPLID939,Sackville Sports Stadium
CPLID94,Willett St
CPLID940,Scotiabank Centre
CPLID941,Fire Station #12 - 45 Highfield Park
CPLID942,Fire Station #13 - 86 King Street
CPLID943,Fire Station #20 - 2385 Crowell Road
CPLID944,Fire Station #22 - North Preston Lake Echo
CPLID945,Fire Station #35 - 39 Corbet Road
CPLID946,Fire Station #38 - Musquodoboit
CPLID947,Fire Station #53 - Terence Bay
CPLID948,Bedford Leisure Centre
CPLID949,Acadia Recreation Centre
CPLID95,Prince St
CPLID950,Keschan Goodman Library
CPLID951,St. Andrew's Community Centre Renovation
CPLID952,Sir Sandford Fleming Cottage
CPLID953,Acadia School
CPLID954,Shakespeare by the Sea
CPLID955,Spencer House
CPLID956,Tallahasse Community Centre
CPLID957,Upper Hammonds Plains Community Centre
CPLID958,Dartmouth Ferry Terminal
CPLID959,Halifax Ferry Terminal
CPLID96,Withrod Dr
CPLID960,Scotia Square
CPLID961,Cole Harbour - Gordon Bell Site
CPLID962,Cornwallis Park
CPLID963,Fort Needham
CPLID964,First Lake
CPLID965,Cole Harbour Common
CPLID966,Hemlock Ravine
CPLID967,Wallace Lucas Community Centre
CPLID968,Westridge Ball Field
CPLID969,Bayer's Westwood Park
CPLID97,St. Mary's Boat club
CPLID970,Sheldrake Lake
CPLID971,Beaver Bank /Kinsac School
CPLID972,Belmont Park
CPLID973,Bristol Ave Park
CPLID974,Ryan Rosen
CPLID975,Caldwell Road School
CPLID976,Chalamont Park
CPLID977,Craigburn Drive Park
CPLID978,Dartmouth Common
CPLID979,DeYoung Drive
CPLID98,Barrington St - Hanover to Duffus
CPLID980,Ecole Bois-Jolie
CPLID981,Evelyn Wood Place
CPLID982,Fairview Heights Annex School
CPLID983,George Dixon
CPLID984,Ecole Chebucto Heights School
CPLID985,Jollimore Park
CPLID986,Lakeside Centre
CPLID987,Leaside Park
CPLID988,Pleasant Drive Park (Gaetz Brook)
CPLID989,Oceanview Drive Park
CPLID99,"Lady Hammond Rd (N, S) - Mackintosh to Windsor"
CPLID990,Regatta Point
CPLID991,Roleika Drive Park
CPLID992,Sir Charles Tupper
CPLID993,Sir Sandford Fleming Park
CPLID994,Titus Smith Park.
CPLID995,Jabaru Lane Park
CPLID996,Sunset Acres Park
CPLID997,Terence Bay Park
CPLID998,Captain Spry Community Centre
CPLID999,Murray Warrington Park
