ID,Description
CPLID1350,Cherry Brook
CPLID1351,Cole Harbour Place
CPLID1352,Dartmouth North Community Centre
CPLID1353,Feetham Park
CPLID1354,Freshwater Trail Park
CPLID1355,Hawthorne School
CPLID1356,Inglis Street School/Gorsebrook Park
CPLID1357,Joseph Howe Elementary School
CPLID1358,Long Lake Drive Park
CPLID1359,Lynette Road Park
CPLID136,Sackville St - Bell to Brunswick
CPLID1360,Maynard Lake Park
CPLID1361,Munroe Park
CPLID1362,Nelson Whynder School
CPLID1363,Parkdale Park
CPLID1364,Prospect Elementary School
CPLID1365,Roaches Pond Park
CPLID1366,Robert Drive Park
CPLID1367,Saint Mary's Boat Club
CPLID1368,Sarto Park at Mount Edward School
CPLID1369,Seaview Community Park
CPLID137,"Robie St (E, W) - University to Spring Garden"
CPLID1370,Southgate Drive Park (Ravines)
CPLID1371,Springfield Lake Recreation Centre
CPLID1372,Transom Drive
CPLID1373,Westwind Ridge Park
CPLID1374,Winslow Drive Park
CPLID1375,Wynn Castle Drive Park
CPLID1376,Bunchberry Lane Park
CPLID1377,Cole Harbour Commons
CPLID1378,Point Pleasant Park
CPLID1379,Public Gardens
CPLID138,Captain William Spry Centre
CPLID1380,Horseshoe Island
CPLID1381,Sir Sandford Fleming Park
CPLID1382,Long Lake Park
CPLID1383,Gordon R. Snow
CPLID1384,Alderney Landing
CPLID1385,Chebucto Wharf
CPLID1386,Northwest Arm Seawall
CPLID1387,Humber Park
CPLID1388,Ashburn Park
CPLID1389,Roaches Pond Park
CPLID139,Little Sackville River Park
CPLID1390,Lakecrest Drive Park
CPLID1391,Springfield Lake Recreation Centre
CPLID1392,Purcell's Cove Park
CPLID1393,Graves Oakley
CPLID1394,Morash Court
CPLID1395,Joseph Howe Elementary School
CPLID1396,Kingswood Field
CPLID1397,Le Marchant St. Thomas School Field
CPLID1398,Mainland Commons
CPLID1399,Mainland Commons Artificial Field
CPLID14,Metro Transit - Cobequid Rd Terminal
CPLID140,Sackville Drive
CPLID1400,Eisenhauer Court
CPLID1401,North Preston Field
CPLID1402,Metropolitan Field
CPLID1403,Burnside Transit Centre
CPLID1404,Ragged Lake Transit Centre
CPLID1405,Halifax Ferry Terminal
CPLID1406,Dartmouth Ferry Terminal
CPLID1407,Woodside Ferry Terminal
CPLID1408,Dartmouth Ferry Terminal
CPLID1409,Halifax Ferry Terminal
CPLID141,Alderney Ferry Terminal
CPLID1410,Mumford Terminal
CPLID1411,Burnside Transit Centre
CPLID1412,Bayer's Road
CPLID1413,Gottingen Street
CPLID1414,Woodside Ferry Terminal
CPLID1415,Wrights Cove Terminal
CPLID1416,Alderney Gate
CPLID1417,Bedford Outdoor Pool
CPLID1418,BMO Centre
CPLID1419,Chocolate Lake Community Centre
CPLID142,Halifax Ferry Terminal
CPLID1420,Cole Harbour Place
CPLID1421,Halifax Commons Pool
CPLID1422,Eric Spicer 
CPLID1423,Halifax City Hall
CPLID1424,Cowie Hill Depot
CPLID1425,Mackintosh Depot
CPLID1426,Turner Drive Depot
CPLID1427,Dartmouth Ferry Terminal
CPLID1428,Halifax Ferry Terminal
CPLID1429,Canada Games Centre
CPLID143,Highfield Terminal
CPLID1430,Centennial Pool
CPLID1431,Eastern Shore Community Centre
CPLID1432,Musquodoboit Harbour Village Plaza
CPLID1433,St. Margaret's Centre
CPLID1434,Dartmouth North Community Centre
CPLID1435,Evergreen House
CPLID1436,Northbrook Community Centre
CPLID1437,Wallace Lucas Community Centre
CPLID1438,Sackville Sports Stadium
CPLID1439,Scotiabank Centre
CPLID144,Lacewood Terminal
CPLID1440,Acadia School
CPLID1441,Tallahassee Recreation Centre
CPLID1442,Upper Hammonds Plains Community Centre
CPLID1443,Dartmouth Sportsplex
CPLID1444,Central Library
CPLID1445,Dartmouth Multi-Pad
CPLID1446,Dartmouth North Community Centre
CPLID1447,Former Arby's Restaurant Bedford
CPLID1448,Former Sackville Centennial School
CPLID1449,Evergreen House
CPLID145,Ragged Lake Transit Center (80 Grassy Lake)
CPLID1450,"Fire Station 2, University Ave"
CPLID1451,Thornhill Depot
CPLID1452,Bedford Library
CPLID1453,North Branch Library
CPLID1454,Halifax North Memorial Library
CPLID1455,Dartmouth North Community Centre
CPLID1456,Keshen Goodman Library
CPLID1457,Alderney Gate Library
CPLID1458,Burnsdie Transit Centre
CPLID1459,Metropark
CPLID146,HRM Community Centre Adjacent to CP Allen High School
CPLID1460,St.St. Margaret's Centre
CPLID1461,Halifax Forum
CPLID1462,Power House
CPLID1463,Keshen Goodman Library
CPLID1464,Mainland Commons
CPLID1465,Halifax Ferry Terminal
CPLID1466,Upper Hammonds Plains Community Centre
CPLID1467,Sambro/Harrietsfield Fire Station
CPLID1468,Scotiabank Centre
CPLID1469,Shubenacadie Greenway Trail
CPLID147,Mount Hermon Cemetery
CPLID1470,St. Andrew's Community Centre
CPLID1471,Fleming Cottage
CPLID1472,BR57 Walker Bridge
CPLID1473,New Composting Plant
CPLID1474,Fall River 
CPLID1475,Herring Cove
CPLID1476,Cole Harbour View Plane
CPLID1477,Eastern Shore
CPLID1478,Mainland North Community Connector
CPLID1479,River-Lake Greenway 
CPLID148,Camp Hill Cemetery
CPLID1480,Bedford West Greenway
CPLID149,Middle Musquodoboit Elementary School
CPLID15,Second St
CPLID150,Agricola St
CPLID151,Young St
CPLID152,Young St
CPLID153,Vincent St
CPLID154,Micmac St
CPLID155,Huron St
CPLID156,Huron St
CPLID157,Swaine St
CPLID158,Swaine St
CPLID159,Armcrescent East Dr
CPLID16,Robie St
CPLID160,Armcrescent East Dr
CPLID161,Armcrescent West Dr
CPLID162,Fourth St
CPLID163,Armcrescent East Dr
CPLID164,Highway 101 Landfill Leachate Treatment Plant
CPLID165,Hwy 101 Landfill
CPLID166,Cell 5 - Otter Lake
CPLID167,Otter Lake Depot
CPLID168,Burnside Drive Trail
CPLID169,Peninsula North-South AT Corridor
CPLID1696,Captain William Spry Community Centre
CPLID1697,Alderney Gate
CPLID1698,BMO Centre
CPLID1699,Spring Garden Road Central Library
CPLID17,Blowers St
CPLID170,CN Main Line
CPLID1700,Cole Harbour Place
CPLID1701,Acadia Centre 
CPLID1702,Queens Square
CPLID1703,Alderney Gate
CPLID1704,Dartmouth Multi-Pad
CPLID1705,Dartmouth North Community Centre
CPLID1706,Dartmouth Sportsplex
CPLID1707,Fire Station 2 - University Avenue
CPLID1708,Fire Station 3 - West Street
CPLID1709,Fire Station 4 - Duffus Street
CPLID171,Porter's Lake MetroX Terminal
CPLID1710,Fire Station 5 - Bayers Road
CPLID1711,Fire Station 14 - Second Street
CPLID1712,Halifax City Hall and Grand Parade
CPLID1713,375 Cowie Hill Road
CPLID1714,6 Turner Drive
CPLID1715,150 Thornhill
CPLID1716,MacKintosh Depot
CPLID1717,Halifax Regional Police Headquarter
CPLID1718,1554 Hollis Street
CPLID1719,St. Margaret's Centre
CPLID172,MacDonald Bridge
CPLID1720,Spryfield Lions Arena 
CPLID1721,1606 Bell Road
CPLID1722,Keshen Goodman Library
CPLID1723,Halifax North Memorial Library
CPLID1724,Alderney Gate Library
CPLID1725,Dartmouth North Library
CPLID1726,Sackville Sports Stadium
CPLID1727,Sambro/Harrietsfield Fire Station
CPLID1728,Scotiabank Centre
CPLID1729,Scotiabank Centre
CPLID173,Glendale/Chandler
CPLID1730,Sheet Harbour Recreation Centre
CPLID1731,St. Andrew's Community Centre 
CPLID1732,Halifax Regional Police Headquarter
CPLID1733,Halifax Regional Police Headquarter
CPLID1734,Halifax Regional Police Headquarter
CPLID1735,Burnside Transit Centre
CPLID1736,Burnside Transit Centre
CPLID1737,Halifax and Alderney Ferry Terminal
CPLID1738,Halifax and Alderney Ferry Terminal
CPLID1739,Halifax Ferry Terminal
CPLID174,Glendale/Pinehill
CPLID1740,Burnside Transit Centre
CPLID1741,Ragged Lake Transit Centre
CPLID1742,Gottingen Street Transit Corridor
CPLID1743,Intersection at Young Avenue and Robie Street
CPLID1744,Intersection at Portland Street and Woodlawn
CPLID1745,Intersection at Main Street and Gordon Avenue
CPLID1746,Woodside Ferry Terminal 
CPLID1747,Wrights Cove Terminal
CPLID1748,Baker Drive Parkland 
CPLID1749,Beazley Field Complex
CPLID175,Caldwell Rd - Between Portland and Hampton Green
CPLID1750,Camp Hill Cemetery 
CPLID1751,Peace Pavilion
CPLID1752,Sullivan Pond 
CPLID1753,Africville
CPLID1754,Sir William Alexander Cairn
CPLID1755,Victoria Park 
CPLID1756,Cole Harbour Place
CPLID1757,Fort Needham Memorial Park 
CPLID1758,Turtle Grove (Turtle Cove - Shannon Park)
CPLID1759,Lake Banook
CPLID176,Waverley Memorial School
CPLID1760,Fort Needham 
CPLID1761,Halifax Commons 
CPLID1762,White's Lake 
CPLID1763,Blue Mountain Birch Cove Park
CPLID1764,Cole Harbour View Plane
CPLID1765,Sidney Crescent
CPLID1766,Porter's Lake Canal
CPLID1767,Purcell's Cove Backlands
CPLID1768,High Head Barrens Park
CPLID1769,Fish Hatchery Park 
CPLID177,500 Block Herring Cove Rd
CPLID1770,Mainland Common - Off Leash Dog Park 
CPLID1771,Farrell Street Park 
CPLID1772,Tomahawk Run Park 
CPLID1773,Haliburton Hills Trail 
CPLID1774,Kingswood Subdivision 
CPLID1775,Birches Park
CPLID1776,Halifax Christian Academy Park
CPLID1777,Connaught Battery Park
CPLID1778,Gorsebrook Park
CPLID1779,Point Pleasant Park 
