OBJECTID,ROUTE_NUM,CLASS,TITLE,SOURCE,SACC,SDATE,DATE_ACT,DATE_REV,Shape__Length
85,9,WEEKDAY REGULAR,9B HERRING COVE,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,2018-02-01T00:00:00.000Z,30457.330300393
86,9,PEAK,9B HERRING COVE,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,2018-02-01T00:00:00.000Z,30457.330300393
87,9,BASE,9B HERRING COVE,TRANSIT,IN,2017-11-27T00:00:00.000Z,2017-11-27T00:00:00.000Z,2018-02-01T00:00:00.000Z,30457.330300393
88,5,PEAK,CHEBUCTO,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,13068.6917160757
89,57,BASE,RUSSELL LAKE,TRANSIT,IN,2010-08-29T00:00:00.000Z,2010-08-29T00:00:00.000Z,2011-08-29T00:00:00.000Z,17087.3377498986
90,60,PEAK,EASTERN PASSAGE - HERITAGE HILLS,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,22362.7463755097
91,60,BASE,EASTERN PASSAGE - HERITAGE HILLS,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,22155.8129761761
92,63,PEAK,WOODSIDE,TRANSIT,IN,2008-09-03T00:00:00.000Z,2008-09-03T00:00:00.000Z,2018-02-07T00:00:00.000Z,10606.1468653451
93,66,WEEKDAY REGULAR,PENHORN,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,45903.7243828591
94,137,BASE,CLAYTON PARK EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,27057.1775401889
95,28,BASE,BAYERS LAKE,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,20924.929315571
96,21,BASE,TIMBERLEA,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-08-20T00:00:00.000Z,26844.8830482958
97,30,BASE,CLAYTON PARK WEST B COUNTER CLOCKWISE,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,13677.8857282489
98,123,BASE,TIMBERLEA EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,29562.8378609125
99,433,BASE,TANTALLON RURAL ROUTE,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,39421.8252842111
100,138,BASE,PARKLAND EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,33020.1591450361
101,3,BASE,CROSSTOWN,TRANSIT,IN,2003-05-27T00:00:00.000Z,2003-05-27T00:00:00.000Z,2018-08-20T00:00:00.000Z,34328.7944361329
102,4,BASE,UNIVERSITIES,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,22026.1805908838
103,39,BASE,FLAMINGO,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,29811.3971407677
104,135,BASE,FLAMINGO EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,30159.3920465037
105,1,PEAK,SPRING GARDEN PM,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,18776.0006278107
106,30,BASE,CLAYTON PARK WEST A CLOCKWISE,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,13840.5789942654
107,136,BASE,FARNHAM GATE EXPRESS,TRANSIT,IN,2018-08-20T00:00:00.000Z,2018-08-20T00:00:00.000Z,,29983.2174142351
108,2,BASE,FAIRVIEW,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-08-20T00:00:00.000Z,22875.1325632662
