OBJECTID,MATERIAL,SOURCE,SACC,ROUTE_NAME,EQUIPMENT,DATE_ACT,DATE_REV,GLOBALID,FDMID,PRIORITY,WNTR_EXCH,SDATE,Shape__Length
3191,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,8f180158-1b43-4280-8580-a354c76bb6d1,300002907,1,No,2011-08-04T00:00:00.000Z,84.3237011607986
3192,SALT,TPW,,E2ORR,,2001-11-01T00:00:00.000Z,2018-12-01T00:00:00.000Z,af38728a-42fd-4509-9fe3-4cdf654d0b59,200000867,1,No,2001-11-01T00:00:00.000Z,211.101772161022
3193,SALT,TPW,DUP,W2YR,,2001-12-16T00:00:00.000Z,2018-12-01T00:00:00.000Z,a85ecbaf-f0bc-446d-a25d-0bd4076c2149,700004925,1,No,2001-12-16T00:00:00.000Z,101.052522281879
3194,SALT,TPW,,E1ORR,,2001-11-09T00:00:00.000Z,2018-12-01T00:00:00.000Z,5b85dd9d-4322-4040-9738-80066783d26e,200000522,1,No,2001-11-09T00:00:00.000Z,474.020534024433
3195,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2018-12-01T00:00:00.000Z,475bd6eb-9b91-4ac4-83e7-ea0a6fc0e077,200000028,1,No,2010-10-01T00:00:00.000Z,238.309284034622
3196,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,9874fac9-5148-48a0-b965-dcd7753a230f,100000337,1,No,2002-12-13T00:00:00.000Z,212.159328686804
3197,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,4c95d83c-fbb9-4b1b-b177-c614c5bad29f,100000309,1,No,2002-12-13T00:00:00.000Z,104.45927055392
3198,SALT,TPW,,E2GR,,2001-11-07T00:00:00.000Z,2018-12-01T00:00:00.000Z,a6f09e9d-e65a-4d02-bffe-92c0ccd45bb4,700003666,1,No,2001-11-07T00:00:00.000Z,33.210021625455
3199,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,92598e47-d9f4-47cb-a07e-9446309e2fb0,300002503,2,No,2011-08-04T00:00:00.000Z,222.117707337284
3200,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,319651cd-1488-4c89-b988-62713ae50952,100002048,2,No,2002-12-13T00:00:00.000Z,103.306720693893
3201,SALT,TPW,,W2-1,,2001-12-16T00:00:00.000Z,2015-11-18T00:00:00.000Z,b5b45379-8321-4de9-81a7-8fb2556f7490,300003538,2,No,2001-12-16T00:00:00.000Z,173.689784962789
3202,SALT,TPW,,W3GR,,2001-12-06T00:00:00.000Z,2018-12-01T00:00:00.000Z,cc0a3f36-cda6-4835-afb4-1dbce8870761,300000072,1,No,2001-12-06T00:00:00.000Z,249.924970528488
3203,SALT,TPW,,W3YR,,2001-12-07T00:00:00.000Z,2018-12-01T00:00:00.000Z,1a6944a1-975a-482c-b4ff-460e5bc2717b,300003256,1,No,2001-12-07T00:00:00.000Z,239.772666185996
3204,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,7df5d4a9-5f26-4b0d-99ff-d97dbe855a7b,200000984,2,No,2010-10-01T00:00:00.000Z,295.654091445271
3205,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2017-11-06T00:00:00.000Z,6cf7fd20-8ef0-4846-bc99-73c74dc719cb,700004465,1,No,2002-11-20T00:00:00.000Z,333.822085395463
