OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1002771,HERRING COVE RD,HERRING COVE,RD,Herring Cove Rd,Herring Cove,HALIFAX,HALIFAX,395,395,11205.3731324379
1002772,ROSEMARY DR,ROSEMARY,DR,Rosemary Dr,Rosemary,MIDDLE SACKVILLE,MIDDLE SACKVILLE,15629,15629,3890.79728356241
1002773,POST OFFICE RD,POST OFFICE,RD,Post Office Rd,Post Office,PORTERS LAKE,PORTERS LAKE,8479,8479,989.173585959325
1002774,THE OTHER ST,THE OTHER,ST,The Other St,The Other,PORTERS LAKE,PORTERS LAKE,8866,8866,303.797862139737
1002775,THIS ST,THIS,ST,This St,This,PORTERS LAKE,PORTERS LAKE,8870,8870,234.512261012381
1002776,INDIAN POINT RD,INDIAN POINT,RD,Indian Point Rd,Indian Point,PROSPECT,PROSPECT,10515,10515,240.236869772206
1002777,LAKE RD,LAKE,RD,Lake Rd,Lake,HATCHET LAKE,HATCHET LAKE,7953,7953,497.800751420956
1002778,TOPAZ LANE,TOPAZ,LANE,Topaz Lane,Topaz,HALIFAX,HALIFAX,17077,17077,128.299486381953
1002779,JOEYS WAY,JOEYS,WAY,Joeys Way,Joeys,DUNCANS COVE,DUNCANS COVE,16105,16105,196.933083986647
1002780,NORTH WEST ARM DR,NORTH WEST ARM,DR,North West Arm Dr,North West Arm,HALIFAX,HALIFAX,598,598,13499.2491204392
1002781,PROSPECT BAY RD,PROSPECT BAY,RD,Prospect Bay Rd,Prospect Bay,PROSPECT,PROSPECT,8491,8491,4581.88365426696
1002782,FAIRHAVEN WAY,FAIRHAVEN,WAY,Fairhaven Way,Fairhaven,MIDDLE SACKVILLE,MIDDLE SACKVILLE,66732,66732,262.568960019528
1002783,BEDFORD BYPS,BEDFORD,BYPS,Bedford Byps,Bedford,LOWER SACKVILLE,LOWER SACKVILLE,4419,4419,101.7649771782
1002784,BEDFORD BYPS,BEDFORD,BYPS,Bedford Byps,Bedford,LOWER SACKVILLE,LOWER SACKVILLE,4419,4419,3644.4475686374
1002785,TRUNK 1 TO BEDFORD BY-PASS ON RAMP,TRUNK 1 TO BEDFORD BY-PASS ON,RAMP,Trunk 1 to Bedford By-Pass On Ramp,Trunk 1 to Bedford By-Pass On,LOWER SACKVILLE,LOWER SACKVILLE,15250,15250,667.422610061993
1002786,UNDER REVIEW  261 UN,UNDER REVIEW  261,UN,Under Review  261 Un,Under Review  261,DARTMOUTH,DARTMOUTH,99999,99999,353.350122296379
1002787,MARSHALL ST,MARSHALL,ST,Marshall St,Marshall,DARTMOUTH,DARTMOUTH,16792,16792,172.531753908265
1002788,FIELDWOOD CIR,FIELDWOOD,CIR,Fieldwood Cir,Fieldwood,COLE HARBOUR,COLE HARBOUR,7540,7540,678.313744485023
1002789,HIGHWAY 102 SB EXIT 5A ON RAMP,HIGHWAY 102 SB EXIT 5A ON,RAMP,Highway 102 SB Exit 5A On Ramp,Highway 102 SB Exit 5A On,GOFFS,GOFFS,15182,15182,751.747300460151
1002790,KENYATTA DR,KENYATTA,DR,Kenyatta Dr,Kenyatta,EASTERN PASSAGE,EASTERN PASSAGE,17183,17183,305.181408542266
1002791,GLENDALE AVE,GLENDALE,AVE,Glendale Ave,Glendale,LOWER SACKVILLE,LOWER SACKVILLE,7620,7620,2356.61492378932
1002792,FOREST HILLS EXT,FOREST HILLS,EXT,Forest Hills Ext,Forest Hills,DARTMOUTH,DARTMOUTH,15028,15028,11188.4873416391
1002793,HIGHWAY 357,HIGHWAY 357, ,Highway 357,Highway 357,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,10459,10459,17268.3605222095
1002794,OLD GERMAN RD,OLD GERMAN,RD,Old German Rd,Old German,WESTPHAL,WESTPHAL,8355,8355,1082.11148377983
1002795,LAKE MAJOR RD,LAKE MAJOR,RD,Lake Major Rd,Lake Major,WESTPHAL,WESTPHAL,10579,10579,2225.42499274674
1002796,REDDY DR,REDDY,DR,Reddy Dr,Reddy,WESTPHAL,WESTPHAL,10818,10818,521.085021835036
1002797,TAHOE CRT,TAHOE,CRT,Tahoe Crt,Tahoe,HAMMONDS PLAINS,HAMMONDS PLAINS,17062,17062,99.3127385153581
1002798,LORNE AVE,LORNE,AVE,Lorne Ave,Lorne,DARTMOUTH,DARTMOUTH,6403,6403,1154.53573360911
1002799,TRUNK 1 TO HIGHWAY 101 EB ON RAMP,TRUNK 1 TO HIGHWAY 101 EB ON,RAMP,Trunk 1 to Highway 101 EB On Ramp,Trunk 1 to Highway 101 EB On,LOWER SACKVILLE,LOWER SACKVILLE,15252,15252,419.872347170236
1002800,BEDFORD BY-PASS NB OFF RAMP,BEDFORD BY-PASS NB OFF,RAMP,Bedford By-Pass NB Off Ramp,Bedford By-Pass NB Off,LOWER SACKVILLE,LOWER SACKVILLE,15253,15253,987.592569259943
1002801,KAPUSKASING ST,KAPUSKASING,ST,Kapuskasing St,Kapuskasing,DARTMOUTH,DARTMOUTH,15680,15680,316.462276633196
1002802,AMETHYST CRES,AMETHYST,CRES,Amethyst Cres,Amethyst,COLE HARBOUR,COLE HARBOUR,10067,10067,669.926576067836
1002803,HADLEY CRES,HADLEY,CRES,Hadley Cres,Hadley,HALIFAX,HALIFAX,17090,17090,472.716918786153
1002804,HIGHWAY 118 ETA 5,HIGHWAY 118 ETA 5,,Highway 118 ETA 5,Highway 118 ETA 5,DARTMOUTH,DARTMOUTH,17161,17161,40.9722056938159
1002805,COPPERMOON CRT,COPPERMOON,CRT,Coppermoon Crt,Coppermoon Crt,HALIFAX,HALIFAX,17137,17137,228.581279509506
